Stories,,,,
Sales by Items By Group,,,,
Description,Barcode,Qty,Total Amount,
PLAIN CROISSANT,,138.0,"26,375.68",
CHOCOLATE CROISSANT,,677.0,"146,277.54",
OLIVE CROISSANT,,1.0,"200.00",
Total by Group: CROISSANT,,1953.0,"407,986.13",
Total by Division: CROISSANT,,1953.0,"407,986.13",
Division: COOKIES,,,,
Group: COOKIES,,,,
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,,618.0,"201,045.95",
NY STYLE COOKIE - DOUBLE CHOCOLATE,,182.0,"58,368.47",
Total by Group: COOKIES,,800.0,"259,414.41",
Total by Division: COOKIES,,800.0,"259,414.41",
Division: FRENCH PASTRY,,,,
Group: FRENCH PASTRY,,,,
FONDANT AU CHOCOLAT,,284.0,"100,867.57",
ECLAIR ORIGINAL,,299.0,"76,690.90",
ECLAIR CHOCOLAT,,236.0,"59,727.30",
CHRISTMAS ORIGINAL ECLAIR,,150.0,"37,811.89",
ECLAIR CARAMEL,,158.0,"39,838.83",
MACARONS,,294.0,"79,169.37",
CHOCOLATE SALTED CAKE,,206.0,"66,242.91",
ECLAIR COFFEE,,19.0,"5,216.22",
CHRISTMAS PISTACHIO ECLAIR,,5.0,"1,837.84",
Total by Group: FRENCH PASTRY,,1651.0,"467,402.82",
Total by Division: FRENCH PASTRY,,1651.0,"467,402.82",
Division: FROZEN YOGHURT,,,,
Group: COMBO TOPPINGS,,,,
GUMMY BEARS COMBO,,2912.0,0.00,
GRANOLLA COMBO,,2884.0,0.00,
WAFER ROLL COMBO,,2419.0,0.00,
MARSHMALLOW COMBO,,3840.0,0.00,
BROWNIES COMBO,,3269.0,0.00,
LOTUS BISCUIT COMBO,,2940.0,0.00,
CHOCOLATE CHIPS COMBO,,3494.0,0.00,
OREO COMBO,,2711.0,0.00,
SPRINKLES COMBO,,1836.0,0.00,
MIXED NUTS COMBO,,1173.0,0.00,
OATS COMBO,,308.0,0.00,
19-Jan-26,Years:2025 Months:0,,Page 10 of, 359
Description,Barcode,Qty,Total Amount,
STRAWBERRY COMBO,,10165.0,0.00,
PINEAPPLE COMBO,,4537.0,0.00,
MANGO COMBO,,7535.0,0.00,
HONEY COMBO,,108.0,0.00,
BLUEBERRIES COMBO,,5825.0,0.00,
Total by Group: COMBO TOPPINGS,,55956.0,0.00,
Group: TOPPINGS,,,,
GRANOLLA,,154.0,"10,473.03",
WAFER ROLL,,99.0,"6,977.24",
MARSHMALLOW,,289.0,"20,012.79",
BROWNIES,,191.0,"12,911.29",
LOTUS BISCUITS,,185.0,"12,979.10",
OREO,,274.0,"19,181.62",
SPRINKLES,,129.0,"9,044.86",
OATS,,40.0,"2,743.12",
CHOCOLATE CHIPS,,443.0,"32,074.77",
MIXED NUTS,,64.0,"4,370.15",
GUMMY BEARS,,152.0,"10,670.21",
STRAWBERRY,,592.0,"43,572.07",
PINEAPPLE,,233.0,"16,137.54",
MANGO,,399.0,"29,660.00",
HONEY,,75.0,"5,355.68",
BLUEBERRIES,,602.0,"43,408.83",
Total by Group: TOPPINGS,,3921.0,"279,572.31",
Group: LUXURY TOPPINGS,,,,
PISTACHIO CRUNCH,,1140.0,"120,291.50",
CHOCOLATE QUELLA CRUNCH,,149.0,"15,500.84",
CHOCOLATE CRUNCH,,1372.0,"146,077.93",
VARIEGATO WAFER,,64.5,"6,759.10",
CHOCOLATE QUELLA,,527.5,"55,619.91",
CRUMBOLE RED BERRIES,,59.0,"6,041.02",
CRUMBOLE PISTACHIO,,81.0,"8,188.35",
