Stories,,,,,,,,,
Theoretical Profit By Item,,,,,,,,,
22-Jan-26,,,Years:2025 Month:0,,,,Page 1 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
Stories - Bir Hasan,,,,,,,,,
TAKE AWAY,,,,,,,,,
BEVERAGES,,,,,,,,,
COLD BAR SECTION,,,,,,,,,
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
MEDIUM,,,,,,,,,
BLUEBERRY YOGHURT SMALL,65.50,"21,033.96",,"4,230.81",20.11,"16,803.15",,79.89,
BLUEBERRY YOGHURT X-LARGE,1.00,"495.50",,"137.46",27.74,"358.04",,72.26,
BROWNIES,107.00,"7,210.93",,"1,976.59",27.41,"5,234.34",,72.59,
BROWNIES COMBO,"2,183.00",0.00,,"40,326.12",0.00,"-40,326.12",,100.00,
CHOCOLATE CHIPS,332.00,"23,639.46",,"2,961.50",12.53,"20,677.96",,87.47,
CHOCOLATE CHIPS COMBO,"2,642.00",0.00,,"23,567.08",0.00,"-23,567.08",,100.00,
CHOCOLATE CRUNCH,"1,068.00","112,541.44",,"50,747.48",45.09,"61,793.96",,54.91,
CHOCOLATE QUELLA,376.50,"39,418.08",,"12,436.63",31.55,"26,981.45",,68.45,
CHOCOLATE QUELLA CRUNCH,142.00,"14,750.51",,"8,287.28",56.18,"6,463.23",,43.82,
CHOCOLATE YOGHURT COMBO MEDIUM,323.50,"131,644.41",,"24,350.84",18.50,"107,293.57",,81.50,
CHOCOLATE YOGHURT COMBO SMALL,759.10,"253,760.09",,"43,568.21",17.17,"210,191.88",,82.83,
CHOCOLATE YOGHURT COMBO X-LARGE,55.50,"31,130.36",,"6,776.79",21.77,"24,353.57",,78.23,
CHOCOLATE YOGHURT MEDIUM,23.00,"8,180.21",,"1,731.28",21.16,"6,448.93",,78.84,
CHOCOLATE YOGHURT SMALL,69.50,"22,006.14",,"3,988.92",18.13,"18,017.22",,81.87,
CHOCOLATE YOGHURT X-LARGE,1.00,"466.67",,"122.10",26.17,"344.56",,73.83,
